Generación,Aptitud promedio,Mejor Aptitud,Segunda Mejor Aptitud,Desviación estándar,Duración Promedio (s),Cantidad de segmentos,Silencio (s),Sonido (s),Umbral (s)
1,438,20.869968152866242,31.402500000000003,2.51,4.6400318471337565,314,0.81,0.56,0.75
2,172,20.869968152866242,43.58621212121212,2.51,4.6400318471337565,314,0.81,0.56,0.75
3,122,20.869968152866242,35.59963235294118,2.51,4.6400318471337565,314,0.81,0.56,0.75
4,96,17.491318327974277,30.316173285198555,2.61,5.118681672025723,311,1.04,0.54,0.75
5,133,30.316173285198555,56.063968253968255,6.88,8.563826714801445,277,2.24,0.56,0.41
